combo_index,ATE_hat_PDL,SE_PDL
0,0.0,0.0
1,-0.2010536789894104,0.008814040571451187
2,0.0017068333690986037,0.0037341732531785965
3,-0.23278412222862244,0.009341125376522541
4,0.6440433263778687,0.013480343855917454
5,1.1126044988632202,0.013106337748467922
6,0.30992230772972107,0.011163313873112202
7,0.9175412654876709,0.012853219173848629
8,1.1309101581573486,0.02314133383333683
9,0.29895466566085815,0.01617327332496643
10,0.9546109437942505,0.02135940082371235
11,0.23564386367797852,0.012530104257166386
12,1.6309001445770264,0.025811143219470978
13,1.457761526107788,0.025272753089666367
14,1.2740164995193481,0.02414185367524624
15,1.1353397369384766,0.02250901609659195
