combo_index,ATE_hat_LA,SE_LA
0,0.0,0.0001
1,-0.8921756744384766,0.059529525051006935
2,-0.7027673721313477,0.05770961169750348
3,-1.5949430465698242,0.08291057613522591
4,0.8946704864501953,0.07072433422281926
5,0.00249481201171875,0.09244293268854849
6,0.19190311431884766,0.09128160128710316
7,-0.7002725601196289,0.1089774980733919
8,1.2641077041625977,0.07567228417342042
9,0.3719320297241211,0.09628114532358534
10,0.56134033203125,0.09516666367115917
11,-0.33083534240722656,0.11225176269038267
12,2.158778190612793,0.10357715019869942
13,1.2666025161743164,0.1194654359891697
14,1.4560108184814453,0.11856907406891803
15,0.5638351440429688,0.13267399774770877
