nohup: ignoring input
[DeDL/SDL] Epoch 107/1000, train MSE=2.1233
[DeDL/SDL] Epoch 108/1000, train MSE=2.1150
[DeDL/SDL] Epoch 109/1000, train MSE=2.1068
[DeDL/SDL] Epoch 110/1000, train MSE=2.0984
[DeDL/SDL] Epoch 111/1000, train MSE=2.0900
[DeDL/SDL] Epoch 112/1000, train MSE=2.0815
[DeDL/SDL] Epoch 113/1000, train MSE=2.0733
[DeDL/SDL] Epoch 114/1000, train MSE=2.0651
[DeDL/SDL] Epoch 115/1000, train MSE=2.0564
[DeDL/SDL] Epoch 116/1000, train MSE=2.0478
[DeDL/SDL] Epoch 117/1000, train MSE=2.0393
[DeDL/SDL] Epoch 118/1000, train MSE=2.0308
[DeDL/SDL] Epoch 119/1000, train MSE=2.0224
[DeDL/SDL] Epoch 120/1000, train MSE=2.0139
[DeDL/SDL] Epoch 121/1000, train MSE=2.0053
[DeDL/SDL] Epoch 122/1000, train MSE=1.9968
[DeDL/SDL] Epoch 123/1000, train MSE=1.9882
[DeDL/SDL] Epoch 124/1000, train MSE=1.9794
[DeDL/SDL] Epoch 125/1000, train MSE=1.9710
[DeDL/SDL] Epoch 126/1000, train MSE=1.9621
[DeDL/SDL] Epoch 127/1000, train MSE=1.9535
[DeDL/SDL] Epoch 128/1000, train MSE=1.9448
[DeDL/SDL] Epoch 129/1000, train MSE=1.9362
[DeDL/SDL] Epoch 130/1000, train MSE=1.9276
[DeDL/SDL] Epoch 131/1000, train MSE=1.9185
[DeDL/SDL] Epoch 132/1000, train MSE=1.9100
[DeDL/SDL] Epoch 133/1000, train MSE=1.9016
[DeDL/SDL] Epoch 134/1000, train MSE=1.8929
[DeDL/SDL] Epoch 135/1000, train MSE=1.8839
[DeDL/SDL] Epoch 136/1000, train MSE=1.8753
[DeDL/SDL] Epoch 137/1000, train MSE=1.8668
[DeDL/SDL] Epoch 138/1000, train MSE=1.8580
[DeDL/SDL] Epoch 139/1000, train MSE=1.8495
[DeDL/SDL] Epoch 140/1000, train MSE=1.8405
[DeDL/SDL] Epoch 141/1000, train MSE=1.8321
[DeDL/SDL] Epoch 142/1000, train MSE=1.8233
[DeDL/SDL] Epoch 143/1000, train MSE=1.8147
[DeDL/SDL] Epoch 144/1000, train MSE=1.8064
[DeDL/SDL] Epoch 145/1000, train MSE=1.7974
[DeDL/SDL] Epoch 146/1000, train MSE=1.7887
[DeDL/SDL] Epoch 147/1000, train MSE=1.7803
[DeDL/SDL] Epoch 148/1000, train MSE=1.7720
[DeDL/SDL] Epoch 149/1000, train MSE=1.7634
[DeDL/SDL] Epoch 150/1000, train MSE=1.7548
[DeDL/SDL] Epoch 151/1000, train MSE=1.7462
[DeDL/SDL] Epoch 152/1000, train MSE=1.7381
[DeDL/SDL] Epoch 153/1000, train MSE=1.7293
[DeDL/SDL] Epoch 154/1000, train MSE=1.7210
[DeDL/SDL] Epoch 155/1000, train MSE=1.7127
[DeDL/SDL] Epoch 156/1000, train MSE=1.7045
[DeDL/SDL] Epoch 157/1000, train MSE=1.6957
[DeDL/SDL] Epoch 158/1000, train MSE=1.6879
[DeDL/SDL] Epoch 159/1000, train MSE=1.6802
[DeDL/SDL] Epoch 160/1000, train MSE=1.6715
[DeDL/SDL] Epoch 161/1000, train MSE=1.6631
[DeDL/SDL] Epoch 162/1000, train MSE=1.6547
[DeDL/SDL] Epoch 163/1000, train MSE=1.6469
[DeDL/SDL] Epoch 164/1000, train MSE=1.6392
[DeDL/SDL] Epoch 165/1000, train MSE=1.6308
[DeDL/SDL] Epoch 166/1000, train MSE=1.6231
[DeDL/SDL] Epoch 167/1000, train MSE=1.6155
[DeDL/SDL] Epoch 168/1000, train MSE=1.6073
[DeDL/SDL] Epoch 169/1000, train MSE=1.5997
[DeDL/SDL] Epoch 170/1000, train MSE=1.5920
[DeDL/SDL] Epoch 171/1000, train MSE=1.5845
[DeDL/SDL] Epoch 172/1000, train MSE=1.5766
[DeDL/SDL] Epoch 173/1000, train MSE=1.5691
[DeDL/SDL] Epoch 174/1000, train MSE=1.5619
[DeDL/SDL] Epoch 175/1000, train MSE=1.5542
[DeDL/SDL] Epoch 176/1000, train MSE=1.5467
[DeDL/SDL] Epoch 177/1000, train MSE=1.5397
[DeDL/SDL] Epoch 178/1000, train MSE=1.5323
[DeDL/SDL] Epoch 179/1000, train MSE=1.5250
[DeDL/SDL] Epoch 180/1000, train MSE=1.5178
[DeDL/SDL] Epoch 181/1000, train MSE=1.5107
[DeDL/SDL] Epoch 182/1000, train MSE=1.5043
[DeDL/SDL] Epoch 183/1000, train MSE=1.4966
[DeDL/SDL] Epoch 184/1000, train MSE=1.4901
[DeDL/SDL] Epoch 185/1000, train MSE=1.4830
[DeDL/SDL] Epoch 186/1000, train MSE=1.4763
[DeDL/SDL] Epoch 187/1000, train MSE=1.4697
